
gaNa	iw_XAwu	mng	paxI	Heritage	saMsAXanI
BvAxiH	wudiz	wodane	A.pa	-	wud2
BvAxiH	Sadiz	rujAyAm	A.pa	-	Sad1
BvAxiH	Sadiz	safGAwe	A.pa	-	Sad1
BvAxiH	wadiz	wAdane	A.pa	-	wad1
BvAxiH	padiz	gawO	A.pa	-	pad1
BvAxiH	cadiz	kope	A.pa	-	cad1
BvAxiH	Kadiz	manWe	A.pa	KaNd	Kad1
BvAxiH	hedqz	anAxare	A.pa	-	hed1
BvAxiH	hodqz	anAxare	A.pa	-	hod1
BvAxiH	hodqz	gawO	pa.pa	-	hod1
BvAxiH	xrAdqz	viSaraNe	A.pa	-	xrAd1
BvAxiH	XrAdqz	viSaraNe	A.pa	-	XrAd1
BvAxiH	SAdqz	SlAGAyAm	A.pa	-	SAd1
BvAxiH	SOtqz	garve	pa.pa	-	SOt1
BvAxiH	yOtqz	banXane	pa.pa	-	yOt1
BvAxiH	mletqz	unmAxe	pa.pa	-	mlet1
BvAxiH	katez	AvaraNe	pa.pa	-	kat1
BvAxiH	katez	varRAyAm	pa.pa	-	kat1
BvAxiH	ataz	gawO	pa.pa	at	at1
BvAxiH	pataz	gawO	pa.pa	pat	pat1
BvAxiH	rataz	pariBARaNe	pa.pa	-	rat1
BvAxiH	lataz	bAlye	pa.pa	-	lat1
BvAxiH	Sataz	avasAxane	pa.pa	-	Sat1
BvAxiH	Sataz	gawO	pa.pa	-	Sat1
BvAxiH	Sataz	rujAyAm	pa.pa	-	Sat1
BvAxiH	Sataz	viSaraNe	pa.pa	-	Sat1
BvAxiH	vataz	pariBARaNe	pa.pa	-	vat1
BvAxiH	vataz	veRtane	pa.pa	-	vat1
BvAxiH	kitaz	gawO	pa.pa	-	kit1
BvAxiH	kitaz	uwwrAse	pa.pa	-	kit1
BvAxiH	Kitaz	uwwrAse	pa.pa	-	Kit1
BvAxiH	Sitaz	anAxare	pa.pa	-	Sit1
BvAxiH	Ritaz	anAxare	pa.pa	-	Rit1
BvAxiH	jataz	safGAwe	pa.pa	-	jat1
BvAxiH	Jataz	safGAwe	pa.pa	-	Jat1
BvAxiH	Bataz	BqwO	pa.pa	-	Bat1
BvAxiH	wataz	ucCrAye	pa.pa	-	wat1
BvAxiH	Kataz	kAfkRAyAm	pa.pa	-	Kat1
BvAxiH	pitaz	Sabxe	pa.pa	-	pit1
BvAxiH	pitaz	safGAwe	pa.pa	-	pit1
BvAxiH	hataz	xIpwO	pa.pa	-	hat1
BvAxiH	Rataz	avayave	pa.pa	-	Rat1
BvAxiH	lutaz	prawiGAwe	A.pa	-	lut1
BvAxiH	citaz	paraprERye	pa.pa	-	cit1
BvAxiH	vitaz	AkroSe	pa.pa	-	vit1
BvAxiH	vitaz	Sabxe	pa.pa	-	vit1
BvAxiH	bitaz	AkroSe	pa.pa	-	bit1
BvAxiH	itaz	gawO	pa.pa	-	it1
BvAxiH	katIz	gawO	pa.pa	-	kat2
BvAxiH	madiz	veRtane	A.pa	-	mad2
BvAxiH	madiz	viBAjane	A.pa	-	mad2
BvAxiH	kudiz	xAhe	A.pa	kuNd	kud2
BvAxiH	mutaz	pramarxane	pa.pa	-	mut1
BvAxiH	cudiz	alpIBAve	pa.pa	-	cud1
BvAxiH	mudiz	majjane	A.pa	-	mud1
BvAxiH	mudiz	mArjane	A.pa	-	mud1
BvAxiH	pudiz	KaNdane	pa.pa	-	pud1
BvAxiH	rutiz	sweye	pa.pa	-	rut2
BvAxiH	lutiz	sweye	pa.pa	-	lut3
BvAxiH	sPutizr	viSaraNe	pa.pa	sPut	sPut2
BvAxiH	paTaz	vyakwAyAM_vAci	pa.pa	paT	paT1
BvAxiH	vaTaz	sWOlye	pa.pa	-	vaT1
BvAxiH	maTaz	maxe	pa.pa	-	maT1
BvAxiH	maTaz	nivAse	pa.pa	-	maT1
BvAxiH	kaTaz	kqcCrajIvane	pa.pa	-	kaT1
BvAxiH	kaTaz	maxe	pa.pa	-	kaT1
BvAxiH	kaTaz	nivAse	pa.pa	-	kaT1
BvAxiH	raTaz	pariBARaNe	pa.pa	-	raT1
BvAxiH	haTaz	pluwO	pa.pa	haT	haT1
BvAxiH	haTaz	SafkubanXane	pa.pa	haT	haT1
BvAxiH	haTaz	SaTawve	pa.pa	haT	haT1
BvAxiH	ruTaz	prawiGAwe	A.pa	-	ruT1
BvAxiH	ruTaz	upaGAwe	pa.pa	-	ruT1
BvAxiH	luTaz	Alasye	pa.pa	-	luT1
BvAxiH	luTaz	prawiGAwe	A.pa	-	luT1
BvAxiH	luTaz	prawiGAwe	pa.pa	-	luT1
BvAxiH	luTaz	upaGAwe	pa.pa	-	luT1
BvAxiH	uTaz	upaGAwe	pa.pa	-	uT1
BvAxiH	piTaz	hiMsAyAm	pa.pa	-	piT1
BvAxiH	piTaz	safkleSane	pa.pa	-	piT1
BvAxiH	SaTaz	hiMsAyAm	pa.pa	-	SaT1
BvAxiH	SaTaz	kEwave	pa.pa	-	SaT1
BvAxiH	SaTaz	safkleSane	pa.pa	-	SaT1
BvAxiH	SuTaz	gawiprawiGAwe	pa.pa	-	SuT1
BvAxiH	kuTiz	gawiprawiGAwe	pa.pa	kuNT	kuT1
BvAxiH	kuTiz	vEkalye	pa.pa	kuNT	kuT1
BvAxiH	SuTiz	gawiprawiGAwe	pa.pa	-	SuT2
BvAxiH	SuTiz	SoRaNe	pa.pa	-	SuT2
BvAxiH	ruTiz	Alasye	pa.pa	-	ruT2
